dataset,outlier_method,norm,metric,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,purity_mean,purity_std,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
ecoli,iqr_1.8,standard,minkowski,0.4494048733420033,0.3760000322645261,0.7371323135861596,0.0680207677241936,0.5947368421052631,0.5108359133126935,0.8080495356037152,0.0540768597492927,0.8048297213622293,0.0209472869719449,0.2518913297223371,0.2002804734247746,0.3339054179621815,0.0211696395392984
ecoli,none,standard,minkowski,0.5044582093393373,0.4109682142938584,0.72209733263838,0.0494506447445684,0.6472023809523809,0.5595238095238095,0.7946428571428571,0.0389992713897867,0.823125,0.0123090215311543,0.2702176663487684,0.2457645630064652,0.337354540542913,0.0153604231742911
ecoli,zscore,standard,euclidean,0.4534449212813606,0.3574015427757857,0.7384134656159839,0.075309128763092,0.5977914110429448,0.4877300613496932,0.8190184049079755,0.0612426673817213,0.8135889570552146,0.0245316512286211,0.2462487668078881,0.2163525460359716,0.3362274982838736,0.0219806064305794
ecoli,zscore_2.5,standard,minkowski,0.4498862397083856,0.3633057603918158,0.7231000895332533,0.0621351348073835,0.5950632911392405,0.509493670886076,0.7974683544303798,0.0485528436368078,0.8030696202531646,0.0174530695832723,0.25227158247503,0.2036560616488313,0.3325776105426585,0.0174381379673172
ecoli,zscore_3.5,standard,chebyshev,0.4569913469080965,0.3786564649817081,0.6544507552401724,0.0551535494672999,0.6102439024390243,0.5304878048780488,0.7835365853658537,0.0524101593840612,0.808109756097561,0.0197763183178919,0.2504338309484743,0.2100647579955738,0.3241567264461887,0.0165857176736923
ecoli,zscore_robust,standard,chebyshev,0.4456011285592204,0.3558808089994485,0.6487543722476827,0.0505710614035934,0.6054573170731707,0.5121951219512195,0.774390243902439,0.048275000997378,0.8071341463414633,0.019328498869044,0.2466366051581751,0.1927314781840659,0.3189770385726128,0.0171934191304502
ecoli,zscore_robust_2.5,standard,euclidean,0.4663253692468854,0.4017468446844573,0.7467652211045587,0.0889092073387712,0.6087461773700306,0.5412844036697247,0.8103975535168195,0.0648430836648211,0.8180733944954128,0.0216909700344639,0.2531253585885121,0.2166750134816468,0.3408402651698851,0.0265191491594483
ecoli,zscore_robust_3.5,standard,euclidean,0.4595305643222782,0.3773641821538641,0.7248296707892243,0.0669423031652595,0.6105454545454545,0.503030303030303,0.806060606060606,0.058204667230555,0.816,0.0199590029765102,0.2491022174082566,0.2170443666566138,0.3269217769107216,0.0215224781288349
glass,iqr,robust,manhattan,0.1879946120899777,0.0574806980459719,0.3039946290920219,0.0743613132700791,0.5029710144927536,0.3333333333333333,0.6159420289855072,0.0693921079827061,0.6397826086956522,0.0785909237210337,0.2379539030682157,0.1606515038476066,0.395999356565524,0.0411942568787926
glass,iqr_1.2,minmax,manhattan,0.2562528517060068,0.0697246568698458,0.3054153645915006,0.0384935170555105,0.5506299212598426,0.4094488188976378,0.6535433070866141,0.0450026693706106,0.7148031496062992,0.0265526008157622,0.2297011712183084,0.1882661901145162,0.263641058954721,0.0162896610164975
glass,iqr_1.8,robust,manhattan,0.1825063399689566,0.0577517099706294,0.2965271062172703,0.0662980830661326,0.4931468531468531,0.3426573426573426,0.6083916083916084,0.0625823727314108,0.6497902097902097,0.0746627869955599,0.2426571211800456,0.1840480453591897,0.4093382855054944,0.0285814486875814
glass,none,none,minkowski,0.2790143910588732,0.2676921137194687,0.2825437894927245,0.006013928163362,0.5434579439252337,0.5420560747663551,0.5467289719626168,0.0021413905116616,0.5901869158878505,0.0021413905116616,0.4390138372777297,0.4329131489500308,0.4410749814633897,0.0033598359098918
glass,zscore,none,chebyshev,0.2616789275418129,0.2021197956706458,0.2786727483104718,0.0181838715227984,0.5523711340206185,0.4690721649484536,0.5721649484536082,0.0260472032411164,0.5810309278350515,0.0078540193627797,0.4052244072497018,0.2866426256916627,0.4589392912547839,0.0505725680533222
glass,zscore_2.5,none,chebyshev,0.234897990315593,0.1613905162123831,0.264242548659952,0.0252555483032062,0.5461452513966479,0.4636871508379888,0.5754189944134078,0.0289331545200259,0.6387150837988828,0.0349066355612303,0.2814273026380904,0.2744446160830695,0.2912874872390245,0.0034556259080277
glass,zscore_3.5,none,chebyshev,0.2725141223960621,0.2026035043203514,0.2906714752081794,0.0132047892603986,0.5561576354679801,0.458128078817734,0.5714285714285714,0.0182797786357433,0.5763054187192117,0.0111355112920467,0.4465492503648147,0.2850967298483672,0.4643351738393169,0.0367950007254972
