dataset,outlier_method,norm,metric,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,hungarian_acc_mean,hungarian_acc_std,hungarian_acc_min,hungarian_acc_max,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
blood,iqr,minmax,minkowski,0.0423352851357856,0.0423352851357856,0.0423352851357856,6.938893903907228e-18,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.627873563218391,2.220446049250313e-16,0.6278735632183908,0.6278735632183908,0.3682392038083432,0.3682392038083431,0.3682392038083431,5.551115123125783e-17
blood,iqr,minmax,chebyshev,0.0248383974238295,0.0247714165851533,0.0281204585189626,0.0004688658707332,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.6078735632183908,0.0008045977011494,0.6077586206896551,0.6135057471264368,0.3044519745019197,0.3044118631401262,0.3064174312298067,0.0002807795325552
blood,iqr,minmax,correlation,0.1049604613007153,0.1049604613007153,0.1049604613007153,0.0,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.6709770114942534,4.440892098500626e-16,0.6709770114942529,0.6709770114942529,0.7635879830860612,0.7635879830860615,0.7635879830860615,2.220446049250313e-16
blood,iqr,minmax,hamming,-0.0107777800323583,-0.0443395813230362,0.0722026759438846,0.0259435749735018,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.5829454022988505,0.017891081290253,0.5603448275862069,0.6910919540229885,0.1288257307764242,0.0792901283856913,0.1420838600476233,0.0071317486956725
blood,iqr,standard,euclidean,0.0272639593805794,0.0272639593805794,0.0272639593805794,3.469446951953614e-18,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.6120689655172411,2.220446049250313e-16,0.6120689655172413,0.6120689655172413,0.4018784770045747,0.4018784770045747,0.4018784770045747,5.551115123125783e-17
blood,iqr,standard,manhattan,0.0586925738979728,0.0586925738979728,0.0586925738979728,0.0,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.6293103448275863,1.1102230246251563e-16,0.6293103448275862,0.6293103448275862,0.4296669965763594,0.4296669965763594,0.4296669965763594,5.551115123125783e-17
blood,iqr,standard,cosine,0.0224594254462941,0.0224594254462941,0.0224594254462941,0.0,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.5847701149425288,1.1102230246251563e-16,0.5847701149425287,0.5847701149425287,0.5922159802436235,0.5922159802436238,0.5922159802436238,2.220446049250313e-16
blood,iqr,standard,minkowski,0.0239661180675762,0.0239661180675762,0.0239661180675762,0.0,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.6063218390804597,1.1102230246251563e-16,0.6063218390804598,0.6063218390804598,0.3780569959365101,0.3780569959365101,0.3780569959365101,5.551115123125783e-17
blood,iqr,standard,chebyshev,0.0222608813385299,0.0222608813385299,0.0222608813385299,3.469446951953614e-18,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.617816091954023,0.0,0.617816091954023,0.617816091954023,0.334958490233997,0.3349584902339972,0.3349584902339972,1.6653345369377348e-16
blood,iqr,standard,correlation,0.0499011041665202,0.0499011041665202,0.0499011041665202,6.938893903907228e-18,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.613505747126437,2.220446049250313e-16,0.6135057471264368,0.6135057471264368,0.7133615535675775,0.7133615535675774,0.7133615535675774,1.1102230246251563e-16
