dataset,norm,outlier_method,metric,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,purity_mean,purity_std,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
balance,none,iqr_1.8,correlation,0.2237180857799928,0.0954656218444042,0.3745303701678211,0.1115822213948968,0.560528,0.472,0.6528,0.0677909464161697,0.7038880000000002,0.050562660689485,0.3940959740676784,0.393310327464392,0.395061461484996,0.0003908845714958
balance,none,zscore_robust,correlation,0.2237180857799928,0.0954656218444042,0.3745303701678211,0.1115822213948968,0.560528,0.472,0.6528,0.0677909464161697,0.7038880000000002,0.050562660689485,0.3940959740676784,0.393310327464392,0.395061461484996,0.0003908845714958
balance,none,zscore_robust_2.5,correlation,0.2237180857799928,0.0954656218444042,0.3745303701678211,0.1115822213948968,0.560528,0.472,0.6528,0.0677909464161697,0.7038880000000002,0.050562660689485,0.3940959740676784,0.393310327464392,0.395061461484996,0.0003908845714958
balance,none,zscore_robust_3.5,correlation,0.2237180857799928,0.0954656218444042,0.3745303701678211,0.1115822213948968,0.560528,0.472,0.6528,0.0677909464161697,0.7038880000000002,0.050562660689485,0.3940959740676784,0.393310327464392,0.395061461484996,0.0003908845714958
balance,robust,none,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.561936,0.472,0.6528,0.0679313705441013,0.7048320000000001,0.0508389671020173,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,robust,zscore,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.561936,0.472,0.6528,0.0679313705441013,0.7048320000000001,0.0508389671020173,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,robust,zscore_2.5,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.561936,0.472,0.6528,0.0679313705441013,0.7048320000000001,0.0508389671020173,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,robust,zscore_3.5,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.561936,0.472,0.6528,0.0679313705441013,0.7048320000000001,0.0508389671020173,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,robust,iqr,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.561936,0.472,0.6528,0.0679313705441013,0.7048320000000001,0.0508389671020173,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,robust,iqr_1.2,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.561936,0.472,0.6528,0.0679313705441013,0.7048320000000001,0.0508389671020173,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,robust,iqr_1.8,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.561936,0.472,0.6528,0.0679313705441013,0.7048320000000001,0.0508389671020173,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,robust,zscore_robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.561936,0.472,0.6528,0.0679313705441013,0.7048320000000001,0.0508389671020173,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,robust,zscore_robust_2.5,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.561936,0.472,0.6528,0.0679313705441013,0.7048320000000001,0.0508389671020173,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,robust,zscore_robust_3.5,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.561936,0.472,0.6528,0.0679313705441013,0.7048320000000001,0.0508389671020173,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,standard,none,correlation,0.2208576978180138,0.0954656218444042,0.380333808831117,0.1122309066877459,0.558512,0.472,0.6528,0.0681942655653684,0.7019040000000001,0.0504554336419775,0.3941049642487935,0.3933103274277924,0.395061461447985,0.0004056629998109
balance,standard,zscore,correlation,0.2208576978180138,0.0954656218444042,0.380333808831117,0.1122309066877459,0.558512,0.472,0.6528,0.0681942655653684,0.7019040000000001,0.0504554336419775,0.3941049642487935,0.3933103274277924,0.395061461447985,0.0004056629998109
