dataset,metric,outlier_method,norm,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,hungarian_acc_mean,hungarian_acc_std,hungarian_acc_min,hungarian_acc_max,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
balance,correlation,none,robust,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.7048320000000001,0.6368,0.776,0.0508389671020173,0.561936,0.0679313705441013,0.472,0.6528,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,correlation,zscore,robust,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.7048320000000001,0.6368,0.776,0.0508389671020173,0.561936,0.0679313705441013,0.472,0.6528,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,correlation,zscore_2.5,robust,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.7048320000000001,0.6368,0.776,0.0508389671020173,0.561936,0.0679313705441013,0.472,0.6528,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,correlation,zscore_3.5,robust,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.7048320000000001,0.6368,0.776,0.0508389671020173,0.561936,0.0679313705441013,0.472,0.6528,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,correlation,iqr,robust,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.7048320000000001,0.6368,0.776,0.0508389671020173,0.561936,0.0679313705441013,0.472,0.6528,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,correlation,iqr_1.2,robust,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.7048320000000001,0.6368,0.776,0.0508389671020173,0.561936,0.0679313705441013,0.472,0.6528,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,correlation,iqr_1.8,robust,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.7048320000000001,0.6368,0.776,0.0508389671020173,0.561936,0.0679313705441013,0.472,0.6528,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,correlation,zscore_robust,robust,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.7048320000000001,0.6368,0.776,0.0508389671020173,0.561936,0.0679313705441013,0.472,0.6528,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,correlation,zscore_robust_2.5,robust,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.7048320000000001,0.6368,0.776,0.0508389671020173,0.561936,0.0679313705441013,0.472,0.6528,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,correlation,zscore_robust_3.5,robust,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.7048320000000001,0.6368,0.776,0.0508389671020173,0.561936,0.0679313705441013,0.472,0.6528,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,cosine,none,minmax,0.2126517596537065,0.1001097076202891,0.403818819013959,0.1147907253221302,0.6986880000000002,0.6416,0.7872,0.0507524842347643,0.5537439999999999,0.0698425548215413,0.472,0.6672,0.3374744109281209,0.3330107489624805,0.3414728565727989,0.0025120550092544
balance,cosine,zscore,minmax,0.2126517596537065,0.1001097076202891,0.403818819013959,0.1147907253221302,0.6986880000000002,0.6416,0.7872,0.0507524842347643,0.5537439999999999,0.0698425548215413,0.472,0.6672,0.3374744109281209,0.3330107489624805,0.3414728565727989,0.0025120550092544
balance,cosine,zscore_2.5,minmax,0.2126517596537065,0.1001097076202891,0.403818819013959,0.1147907253221302,0.6986880000000002,0.6416,0.7872,0.0507524842347643,0.5537439999999999,0.0698425548215413,0.472,0.6672,0.3374744109281209,0.3330107489624805,0.3414728565727989,0.0025120550092544
balance,cosine,zscore_3.5,minmax,0.2126517596537065,0.1001097076202891,0.403818819013959,0.1147907253221302,0.6986880000000002,0.6416,0.7872,0.0507524842347643,0.5537439999999999,0.0698425548215413,0.472,0.6672,0.3374744109281209,0.3330107489624805,0.3414728565727989,0.0025120550092544
balance,cosine,iqr,minmax,0.2126517596537065,0.1001097076202891,0.403818819013959,0.1147907253221302,0.6986880000000002,0.6416,0.7872,0.0507524842347643,0.5537439999999999,0.0698425548215413,0.472,0.6672,0.3374744109281209,0.3330107489624805,0.3414728565727989,0.0025120550092544
balance,cosine,iqr_1.2,minmax,0.2126517596537065,0.1001097076202891,0.403818819013959,0.1147907253221302,0.6986880000000002,0.6416,0.7872,0.0507524842347643,0.5537439999999999,0.0698425548215413,0.472,0.6672,0.3374744109281209,0.3330107489624805,0.3414728565727989,0.0025120550092544
balance,cosine,iqr_1.8,minmax,0.2126517596537065,0.1001097076202891,0.403818819013959,0.1147907253221302,0.6986880000000002,0.6416,0.7872,0.0507524842347643,0.5537439999999999,0.0698425548215413,0.472,0.6672,0.3374744109281209,0.3330107489624805,0.3414728565727989,0.0025120550092544
balance,cosine,zscore_robust,minmax,0.2126517596537065,0.1001097076202891,0.403818819013959,0.1147907253221302,0.6986880000000002,0.6416,0.7872,0.0507524842347643,0.5537439999999999,0.0698425548215413,0.472,0.6672,0.3374744109281209,0.3330107489624805,0.3414728565727989,0.0025120550092544
balance,cosine,zscore_robust_2.5,minmax,0.2126517596537065,0.1001097076202891,0.403818819013959,0.1147907253221302,0.6986880000000002,0.6416,0.7872,0.0507524842347643,0.5537439999999999,0.0698425548215413,0.472,0.6672,0.3374744109281209,0.3330107489624805,0.3414728565727989,0.0025120550092544
balance,cosine,zscore_robust_3.5,minmax,0.2126517596537065,0.1001097076202891,0.403818819013959,0.1147907253221302,0.6986880000000002,0.6416,0.7872,0.0507524842347643,0.5537439999999999,0.0698425548215413,0.472,0.6672,0.3374744109281209,0.3330107489624805,0.3414728565727989,0.0025120550092544
balance,euclidean,none,standard,0.1375522625300629,0.1141035066705216,0.1604956424765602,0.0175595243551087,0.6542560000000001,0.6288,0.6784,0.0156540111153659,0.526832,0.0101011967607803,0.504,0.5376,0.1743386029665235,0.1743219436831257,0.1751024333403024,0.0001096170304069
balance,euclidean,zscore,standard,0.1375522625300629,0.1141035066705216,0.1604956424765602,0.0175595243551087,0.6542560000000001,0.6288,0.6784,0.0156540111153659,0.526832,0.0101011967607803,0.504,0.5376,0.1743386029665235,0.1743219436831257,0.1751024333403024,0.0001096170304069
balance,euclidean,zscore_2.5,standard,0.1375522625300629,0.1141035066705216,0.1604956424765602,0.0175595243551087,0.6542560000000001,0.6288,0.6784,0.0156540111153659,0.526832,0.0101011967607803,0.504,0.5376,0.1743386029665235,0.1743219436831257,0.1751024333403024,0.0001096170304069
balance,euclidean,zscore_3.5,standard,0.1375522625300629,0.1141035066705216,0.1604956424765602,0.0175595243551087,0.6542560000000001,0.6288,0.6784,0.0156540111153659,0.526832,0.0101011967607803,0.504,0.5376,0.1743386029665235,0.1743219436831257,0.1751024333403024,0.0001096170304069
balance,euclidean,iqr,standard,0.1375522625300629,0.1141035066705216,0.1604956424765602,0.0175595243551087,0.6542560000000001,0.6288,0.6784,0.0156540111153659,0.526832,0.0101011967607803,0.504,0.5376,0.1743386029665235,0.1743219436831257,0.1751024333403024,0.0001096170304069
balance,euclidean,iqr_1.2,standard,0.1375522625300629,0.1141035066705216,0.1604956424765602,0.0175595243551087,0.6542560000000001,0.6288,0.6784,0.0156540111153659,0.526832,0.0101011967607803,0.504,0.5376,0.1743386029665235,0.1743219436831257,0.1751024333403024,0.0001096170304069
balance,euclidean,iqr_1.8,standard,0.1375522625300629,0.1141035066705216,0.1604956424765602,0.0175595243551087,0.6542560000000001,0.6288,0.6784,0.0156540111153659,0.526832,0.0101011967607803,0.504,0.5376,0.1743386029665235,0.1743219436831257,0.1751024333403024,0.0001096170304069
balance,euclidean,zscore_robust,standard,0.1375522625300629,0.1141035066705216,0.1604956424765602,0.0175595243551087,0.6542560000000001,0.6288,0.6784,0.0156540111153659,0.526832,0.0101011967607803,0.504,0.5376,0.1743386029665235,0.1743219436831257,0.1751024333403024,0.0001096170304069
balance,euclidean,zscore_robust_2.5,standard,0.1375522625300629,0.1141035066705216,0.1604956424765602,0.0175595243551087,0.6542560000000001,0.6288,0.6784,0.0156540111153659,0.526832,0.0101011967607803,0.504,0.5376,0.1743386029665235,0.1743219436831257,0.1751024333403024,0.0001096170304069
balance,euclidean,zscore_robust_3.5,standard,0.1375522625300629,0.1141035066705216,0.1604956424765602,0.0175595243551087,0.6542560000000001,0.6288,0.6784,0.0156540111153659,0.526832,0.0101011967607803,0.504,0.5376,0.1743386029665235,0.1743219436831257,0.1751024333403024,0.0001096170304069
