dataset,outlier_method,norm,metric,inertia_mean,inertia_std,inertia_min,inertia_max,silhouette_mean,silhouette_std,silhouette_min,silhouette_max,ari_mean,ari_std,ari_min,ari_max,nmi_mean,nmi_std,nmi_min,nmi_max,acc_mean,acc_std,acc_min,acc_max,purity_mean,purity_std,purity_min,purity_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,removed_count_mean,removed_count_std,removed_count_min,removed_count_max,removed_pct_mean,removed_pct_std,removed_pct_min,removed_pct_max
blood,iqr_1.8,none,euclidean,188504126.59474772,1659711.5415086267,188123362.65343916,195738641.47961202,0.6546707243767105,0.00336874124472332,0.6399867217240242,0.6554435666215888,0.06071862456065461,0.00015429865418063033,0.060046052319956904,0.06075402309963869,0.01429116633089243,0.0012886167379278174,0.013995537376282827,0.019908116468474818,0.674265734265734,0.005486725942918328,0.6503496503496503,0.6755244755244755,0.7720279720279721,1.1102230246251565e-16,0.772027972027972,0.772027972027972,0.43567482241515393,0.0,0.43567482241515393,0.43567482241515393,33.0,0.0,33,33,4.411764705882355,1.7763568394002505e-15,4.411764705882353,4.411764705882353
blood,iqr_1.8,none,manhattan,226310832.0,0.0,226310832.0,226310832.0,0.6022098814697177,1.1102230246251565e-16,0.6022098814697175,0.6022098814697175,0.045710033102716936,2.0816681711721685e-17,0.04571003310271696,0.04571003310271696,0.018622858273887957,3.469446951953614e-18,0.01862285827388796,0.01862285827388796,0.6237762237762238,0.0,0.6237762237762238,0.6237762237762238,0.7720279720279721,1.1102230246251565e-16,0.772027972027972,0.772027972027972,0.43567482241515393,0.0,0.43567482241515393,0.43567482241515393,33.0,0.0,33,33,4.411764705882355,1.7763568394002505e-15,4.411764705882353,4.411764705882353
blood,iqr_1.8,none,cosine,529673375.2366215,5.960464477539063e-08,529673375.23662156,529673375.23662156,0.7324821210112934,2.220446049250313e-16,0.7324821210112936,0.7324821210112936,-0.059287807087531556,6.938893903907228e-18,-0.05928780708753156,-0.05928780708753156,0.06076893517618811,6.938893903907228e-18,0.060768935176188116,0.060768935176188116,0.5314685314685317,2.220446049250313e-16,0.5314685314685315,0.5314685314685315,0.7720279720279721,1.1102230246251565e-16,0.772027972027972,0.772027972027972,0.43567482241515393,0.0,0.43567482241515393,0.43567482241515393,33.0,0.0,33,33,4.411764705882355,1.7763568394002505e-15,4.411764705882353,4.411764705882353
blood,iqr_1.8,none,minkowski,188504126.59474772,1659711.5415086267,188123362.65343916,195738641.47961202,0.655042947662361,0.003353306144343674,0.6404262250524128,0.6558122488523581,0.06071862456065461,0.00015429865418063033,0.060046052319956904,0.06075402309963869,0.01429116633089243,0.0012886167379278174,0.013995537376282827,0.019908116468474818,0.674265734265734,0.005486725942918328,0.6503496503496503,0.6755244755244755,0.7720279720279721,1.1102230246251565e-16,0.772027972027972,0.772027972027972,0.43567482241515393,0.0,0.43567482241515393,0.43567482241515393,33.0,0.0,33,33,4.411764705882355,1.7763568394002505e-15,4.411764705882353,4.411764705882353
blood,iqr_1.8,none,chebyshev,188961043.32431808,2382742.7409762302,188123362.65343916,195738641.47961202,0.6542553782848763,0.004803691235721271,0.6405915075287382,0.65594417129968,0.060676146313873705,0.00022151680517755055,0.060046052319956904,0.06075402309963869,0.014645921076423951,0.0018499854350636368,0.013995537376282827,0.019908116468474818,0.6727552447552445,0.007876944930039613,0.6503496503496503,0.6755244755244755,0.7720279720279721,1.1102230246251565e-16,0.772027972027972,0.772027972027972,0.43567482241515393,0.0,0.43567482241515393,0.43567482241515393,33.0,0.0,33,33,4.411764705882355,1.7763568394002505e-15,4.411764705882353,4.411764705882353
blood,iqr_1.8,none,correlation,544163837.1800452,1.1920928955078125e-07,544163837.1800454,544163837.1800454,0.6172546343370088,1.1102230246251565e-16,0.6172546343370089,0.6172546343370089,-0.04328988045076161,0.0,-0.04328988045076161,-0.04328988045076161,0.06461138691127481,1.3877787807814457e-17,0.06461138691127483,0.06461138691127483,0.5020979020979021,0.0,0.5020979020979021,0.5020979020979021,0.7720279720279721,1.1102230246251565e-16,0.772027972027972,0.772027972027972,0.43567482241515393,0.0,0.43567482241515393,0.43567482241515393,33.0,0.0,33,33,4.411764705882355,1.7763568394002505e-15,4.411764705882353,4.411764705882353
blood,iqr_1.8,none,hamming,994797551.26,29766848.608758904,869196453.0,1040959804.0,0.11990139051183264,0.025552489975973515,0.07552552558148085,0.14088854058634753,-0.012027506303535105,0.05709036613848678,-0.06980607732784205,0.09672297344322743,0.020135626926343474,0.005068680295404814,0.003213367051373738,0.032538820835927726,0.6105874125874124,0.05616921647362192,0.5636363636363636,0.7188811188811188,0.7720279720279721,1.1102230246251565e-16,0.772027972027972,0.772027972027972,0.43567482241515393,0.0,0.43567482241515393,0.43567482241515393,33.0,0.0,33,33,4.411764705882355,1.7763568394002505e-15,4.411764705882353,4.411764705882353
blood,iqr_1.8,minmax,euclidean,106.43346542321375,0.0005189444713238345,106.43294647874248,106.43398436768513,0.40595680267736844,0.00024192642338194403,0.40571487625398656,0.40619872910075044,0.04215185039210083,0.0012181136133393965,0.04093373677876143,0.04336996400544022,0.00889099138129637,0.0004662832192492555,0.008424708162047118,0.00935727460054563,0.6496503496503496,0.0006993006993006867,0.6489510489510489,0.6503496503496503,0.7720279720279721,1.1102230246251565e-16,0.772027972027972,0.772027972027972,0.43567482241515393,0.0,0.43567482241515393,0.43567482241515393,33.0,0.0,33,33,4.411764705882355,1.7763568394002505e-15,4.411764705882353,4.411764705882353
blood,iqr_1.8,minmax,manhattan,117.10307589579229,4.263256414560601e-14,117.10307589579224,117.10307589579224,0.42501169074336526,2.220446049250313e-16,0.42501169074336503,0.42501169074336503,0.045702832763305584,0.0,0.045702832763305584,0.045702832763305584,0.020421140065891182,3.469446951953614e-18,0.02042114006589118,0.02042114006589118,0.6209790209790211,1.1102230246251565e-16,0.620979020979021,0.620979020979021,0.7720279720279721,1.1102230246251565e-16,0.772027972027972,0.772027972027972,0.43567482241515393,0.0,0.43567482241515393,0.43567482241515393,33.0,0.0,33,33,4.411764705882355,1.7763568394002505e-15,4.411764705882353,4.411764705882353
blood,iqr_1.8,minmax,cosine,126.03913098008655,2.842170943040401e-14,126.03913098008653,126.03913098008653,0.7348468382059852,0.0,0.7348468382059852,0.7348468382059852,0.03143469097188051,0.0,0.03143469097188051,0.03143469097188051,0.0445523384545188,6.938893903907228e-18,0.044552338454518794,0.044552338454518794,0.5902097902097904,1.1102230246251565e-16,0.5902097902097903,0.5902097902097903,0.7720279720279721,1.1102230246251565e-16,0.772027972027972,0.772027972027972,0.43567482241515393,0.0,0.43567482241515393,0.43567482241515393,33.0,0.0,33,33,4.411764705882355,1.7763568394002505e-15,4.411764705882353,4.411764705882353
blood,iqr_1.8,minmax,minkowski,107.29232876742431,0.0,107.29232876742431,107.29232876742431,0.371329317769461,1.1102230246251565e-16,0.3713293177694611,0.3713293177694611,0.03190966692360233,6.938893903907228e-18,0.03190966692360234,0.03190966692360234,0.00675175041116719,1.734723475976807e-18,0.006751750411167191,0.006751750411167191,0.6293706293706292,2.220446049250313e-16,0.6293706293706294,0.6293706293706294,0.7720279720279721,1.1102230246251565e-16,0.772027972027972,0.772027972027972,0.43567482241515393,0.0,0.43567482241515393,0.43567482241515393,33.0,0.0,33,33,4.411764705882355,1.7763568394002505e-15,4.411764705882353,4.411764705882353
blood,iqr_1.8,minmax,chebyshev,110.55648522373747,2.842170943040401e-14,110.5564852237375,110.5564852237375,0.3068701155962418,5.551115123125783e-17,0.30687011559624183,0.30687011559624183,0.029743628902904523,0.0,0.029743628902904523,0.029743628902904523,0.0068165257150797996,1.734723475976807e-18,0.006816525715079798,0.006816525715079798,0.6209790209790211,1.1102230246251565e-16,0.620979020979021,0.620979020979021,0.7720279720279721,1.1102230246251565e-16,0.772027972027972,0.772027972027972,0.43567482241515393,0.0,0.43567482241515393,0.43567482241515393,33.0,0.0,33,33,4.411764705882355,1.7763568394002505e-15,4.411764705882353,4.411764705882353
blood,iqr_1.8,minmax,correlation,125.60360766766074,1.4210854715202004e-14,125.60360766766073,125.60360766766073,0.7809839284315006,1.1102230246251565e-16,0.7809839284315007,0.7809839284315007,0.10277303194014094,2.7755575615628914e-17,0.10277303194014097,0.10277303194014097,0.05826216759005162,6.938893903907228e-18,0.05826216759005163,0.05826216759005163,0.6713286713286714,0.0,0.6713286713286714,0.6713286713286714,0.7720279720279721,1.1102230246251565e-16,0.772027972027972,0.772027972027972,0.43567482241515393,0.0,0.43567482241515393,0.43567482241515393,33.0,0.0,33,33,4.411764705882355,1.7763568394002505e-15,4.411764705882353,4.411764705882353
