outlier,norm,metric,inertia_mean,inertia_std,inertia_min,inertia_max,silhouette_mean,silhouette_std,silhouette_min,silhouette_max,ari_mean,ari_std,ari_min,ari_max,nmi_mean,nmi_std,nmi_min,nmi_max,acc_mean,acc_std,acc_min,acc_max
zscore,robust,manhattan,72.6171408805546,8.672777273965856,69.21338983055695,95.26946387555112,0.44706572526862426,0.0023927872813985195,0.43954438013408054,0.4482539443286713,0.551948861357853,0.04514278148297261,0.42967212304040353,0.5748162403295267,0.613181533753442,0.012345304464085573,0.5873421269770561,0.6474446439631089,0.7715883668903806,0.09388752951872878,0.5100671140939598,0.8120805369127517
zscore,robust,cosine,36.96266051893633,0.04789075526592686,36.88694030044799,37.02038798318755,0.43415469254673855,0.0016214523946514845,0.4327174779688131,0.43643681833761017,0.5182496478838433,0.013006321249852829,0.49630983612424057,0.5329782324436582,0.543305234814519,0.012103235442615642,0.5262431254102762,0.5589282035251201,0.7767337807606265,0.009637878849457712,0.7583892617449665,0.785234899328859
zscore,robust,chebyshev,72.6171408805546,8.672777273965856,69.21338983055695,95.26946387555112,0.44706572526862426,0.0023927872813985195,0.43954438013408054,0.4482539443286713,0.551948861357853,0.04514278148297261,0.42967212304040353,0.5748162403295267,0.613181533753442,0.012345304464085573,0.5873421269770561,0.6474446439631089,0.7715883668903806,0.09388752951872878,0.5100671140939598,0.8120805369127517
iqr,none,euclidean,73.51047266259563,0.02779105118656715,73.47869237971103,73.53477523186032,0.5532432369046891,0.0009039613156571778,0.552452745665661,0.5542769562172641,0.710348982631931,0.0071654823097374075,0.704082950124622,0.7185430251414886,0.743102608122354,0.00824066693187471,0.7358963539380597,0.7525261712864313,0.8865296803652967,0.0033940796226754714,0.8835616438356164,0.8904109589041096
iqr,none,manhattan,73.51047266259563,0.02779105118656715,73.47869237971103,73.53477523186032,0.5532432369046891,0.0009039613156571778,0.552452745665661,0.5542769562172641,0.710348982631931,0.0071654823097374075,0.704082950124622,0.7185430251414886,0.743102608122354,0.00824066693187471,0.7358963539380597,0.7525261712864313,0.8865296803652967,0.0033940796226754714,0.8835616438356164,0.8904109589041096
iqr,none,cosine,0.3191736846642321,0.049821284513132794,0.30585838871962046,0.5057043552841919,0.48249695616584914,0.007852386534959196,0.4523602576295836,0.48459493058894815,0.8689282926292184,0.11493519673824783,0.43731649557389224,0.8996458258840202,0.8804475801817948,0.0627140156327372,0.6451115282274139,0.8972085396928167,0.9365296803652969,0.10935953898741661,0.5205479452054794,0.9657534246575342
iqr,none,chebyshev,73.51047266259563,0.02779105118656715,73.47869237971103,73.53477523186032,0.5532432369046891,0.0009039613156571778,0.552452745665661,0.5542769562172641,0.710348982631931,0.0071654823097374075,0.704082950124622,0.7185430251414886,0.743102608122354,0.00824066693187471,0.7358963539380597,0.7525261712864313,0.8865296803652967,0.0033940796226754714,0.8835616438356164,0.8904109589041096
iqr,minmax,euclidean,7.992970133258283,0.004199234455074263,7.989368933997591,7.998081390274455,0.4793148866278968,0.0025893024421598555,0.47715622732814167,0.4827657290179188,0.6652118880337531,0.008822302990192508,0.6496408411595946,0.6764429331582726,0.6953358154898347,0.009500605607612478,0.681926175147298,0.7085158453154095,0.8643835616438357,0.004473953868097147,0.8561643835616438,0.8698630136986302
iqr,minmax,manhattan,7.992970133258283,0.004199234455074263,7.989368933997591,7.998081390274455,0.4793148866278968,0.0025893024421598555,0.47715622732814167,0.4827657290179188,0.6652118880337531,0.008822302990192508,0.6496408411595946,0.6764429331582726,0.6953358154898347,0.009500605607612478,0.681926175147298,0.7085158453154095,0.8643835616438357,0.004473953868097147,0.8561643835616438,0.8698630136986302
iqr,minmax,cosine,2.546001045225256,0.25059952146549125,2.4469227803297393,3.184903259860082,0.3661389800208095,0.02047857940531769,0.3564716279484856,0.41814461088470695,0.46067233639434574,0.008845614491769549,0.4381939131952146,0.46478720490816083,0.5598028139230221,0.022869513316704487,0.5499516883361959,0.6180810932125442,0.6490867579908675,0.03176799326446284,0.5684931506849316,0.6643835616438356
iqr,minmax,chebyshev,7.992970133258283,0.004199234455074263,7.989368933997591,7.998081390274455,0.4793148866278968,0.0025893024421598555,0.47715622732814167,0.4827657290179188,0.6652118880337531,0.008822302990192508,0.6496408411595946,0.6764429331582726,0.6953358154898347,0.009500605607612478,0.681926175147298,0.7085158453154095,0.8643835616438357,0.004473953868097147,0.8561643835616438,0.8698630136986302
iqr,standard,euclidean,138.53086468594685,13.776954663940653,134.34583168285369,190.04296524192608,0.46476834441107767,0.0064011366462533624,0.46003837910849643,0.4859252199034674,0.5830824542010515,0.042508140922609405,0.4293842080225439,0.6059487011420586,0.6349394481889961,0.011438985131483932,0.5936626951516508,0.6418813949214447,0.8070776255707766,0.06461832583094085,0.5684931506849316,0.8356164383561644
iqr,standard,manhattan,138.53086468594685,13.776954663940653,134.34583168285369,190.04296524192608,0.46476834441107767,0.0064011366462533624,0.46003837910849643,0.4859252199034674,0.5830824542010515,0.042508140922609405,0.4293842080225439,0.6059487011420586,0.6349394481889961,0.011438985131483932,0.5936626951516508,0.6418813949214447,0.8070776255707766,0.06461832583094085,0.5684931506849316,0.8356164383561644
iqr,standard,cosine,30.07754391305794,1.0658141036401503e-14,30.07754391305793,30.07754391305793,0.45279130934464146,1.1102230246251565e-16,0.45279130934464135,0.45279130934464135,0.5699352345869007,1.1102230246251565e-16,0.5699352345869008,0.5699352345869008,0.6178892924879744,9.507381976999465e-17,0.6178892924879744,0.6178892924879745,0.8082191780821915,3.3306690738754696e-16,0.8082191780821918,0.8082191780821918
iqr,standard,chebyshev,138.53086468594685,13.776954663940653,134.34583168285369,190.04296524192608,0.46476834441107767,0.0064011366462533624,0.46003837910849643,0.4859252199034674,0.5830824542010515,0.042508140922609405,0.4293842080225439,0.6059487011420586,0.6349394481889961,0.011438985131483932,0.5936626951516508,0.6418813949214447,0.8070776255707766,0.06461832583094085,0.5684931506849316,0.8356164383561644
iqr,robust,euclidean,65.81495980445344,8.385625638042786,62.52804808721331,88.62403161951615,0.45330050117787335,0.006722848134232452,0.4360846554901817,0.485576974136791,0.5493792574047539,0.041066189944909834,0.4207600243262903,0.5635913954016283,0.6090361864206499,0.019346661137772187,0.5748305422142087,0.7067339054882813,0.7803652968036527,0.07295797760145507,0.5684931506849316,0.8082191780821918
iqr,robust,manhattan,65.81495980445344,8.385625638042786,62.52804808721331,88.62403161951615,0.45330050117787335,0.006722848134232452,0.4360846554901817,0.485576974136791,0.5493792574047539,0.041066189944909834,0.4207600243262903,0.5635913954016283,0.6090361864206499,0.019346661137772187,0.5748305422142087,0.7067339054882813,0.7803652968036527,0.07295797760145507,0.5684931506849316,0.8082191780821918
iqr,robust,cosine,36.106680820710764,0.017676998548915395,36.08119433760483,36.12642821507558,0.43680583003962975,0.001533313670724933,0.4353097640442445,0.43923834655730937,0.49692676773844974,0.008663996361021397,0.484915673190135,0.5058314330283145,0.5296095568881062,0.006547625278334859,0.5198588809471258,0.5356028483008188,0.7639269406392692,0.008795141682309675,0.7534246575342466,0.773972602739726
iqr,robust,chebyshev,65.81495980445344,8.385625638042786,62.52804808721331,88.62403161951615,0.45330050117787335,0.006722848134232452,0.4360846554901817,0.485576974136791,0.5493792574047539,0.041066189944909834,0.4207600243262903,0.5635913954016283,0.6090361864206499,0.019346661137772187,0.5748305422142087,0.7067339054882813,0.7803652968036527,0.07295797760145507,0.5684931506849316,0.8082191780821918
