dataset,metric,outlier_method,norm,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
ecoli,cosine,none,standard,0.4214225514125341,0.3233141411779715,0.6286876212982317,0.0524411765738399,0.8004166666666666,0.7470238095238095,0.8303571428571429,0.0166178067827127,0.2225199461432196,0.1259001539223009,0.3093167005580441,0.0288410189112857
ecoli,euclidean,none,standard,0.4647414084591745,0.3374035204409349,0.7529350305758264,0.0902854108444877,0.8162202380952379,0.7410714285714286,0.8630952380952381,0.0262424234557748,0.2429439295290143,0.1672858065823868,0.3287954995380533,0.0274795474122395
ecoli,hamming,none,robust,0.0259423002632352,-0.0513536711773203,0.0954153666214695,0.0283512780116075,0.4463690476190476,0.4255952380952381,0.4851190476190476,0.0116488870839571,-0.1584318748253465,-0.2715270648554829,-0.0417475901269895,0.0477900568873429
ecoli,manhattan,none,standard,0.4412585229289582,0.3363359635183219,0.6897547114370769,0.0744053588531149,0.8067857142857144,0.7380952380952381,0.8660714285714286,0.025308751052128,0.2237945921671201,0.1520583725024339,0.3339961298758461,0.030465821303016
ecoli,minkowski,none,standard,0.4747182551608471,0.372811593078492,0.7175017044386933,0.0766117918687229,0.8209821428571427,0.7708333333333334,0.8541666666666666,0.0186641790662064,0.2431451101168709,0.1669102844965042,0.3193678402837816,0.0253951587837376
glass,chebyshev,none,none,0.2475401822563214,0.1726391502302975,0.290575159233952,0.0329022546619115,0.5624766355140186,0.4906542056074766,0.6401869158878505,0.0238423560900602,0.3562442189421645,0.1671043160604766,0.5624956528503953,0.0844898799209263
glass,correlation,zscore,standard,0.199993633600695,0.0208302045853342,0.2940594653993408,0.0492958782739021,0.5066494845360824,0.4278350515463917,0.6134020618556701,0.0403927406035256,0.25767598731043,-0.1993747254593316,0.3702019299942031,0.1491560591422401
glass,cosine,none,none,0.2446749230481739,0.1663675987257459,0.2889562956211757,0.0330122371672782,0.5737383177570092,0.4859813084112149,0.6448598130841121,0.0384689290587354,0.3310354114585649,0.1879031835846229,0.5703691120322009,0.095050670315439
glass,euclidean,none,none,0.2388495236795787,0.1497986352530525,0.2934975218729923,0.0364097878858497,0.575233644859813,0.4906542056074766,0.6448598130841121,0.0371458588673031,0.3334093100856386,0.188781617736767,0.4547523880292266,0.0987652499276358
glass,hamming,zscore,minmax,0.1261088466894965,-0.025334879068183,0.188204505322448,0.0388359038965004,0.4781958762886597,0.3969072164948453,0.4948453608247423,0.0149902543889255,0.0355666515918349,-0.2345173867661387,0.197836600728777,0.096950241930996
glass,manhattan,none,none,0.2454915296306992,0.1705093052030716,0.280173704146246,0.0227758098836271,0.5792990654205608,0.5046728971962616,0.6448598130841121,0.032296819485344,0.3628306848934662,0.2054407825356012,0.566943995994654,0.0895886111925078
glass,minkowski,none,none,0.2419163893605211,0.140299175799871,0.2943009972239355,0.03609533173062,0.5755140186915888,0.4813084112149532,0.6355140186915887,0.033238196549206,0.3344860392239137,0.1815360153769239,0.443618056265055,0.0931342152735354
iris,chebyshev,none,none,0.6763830746205616,0.4326146709667901,0.7155592175135396,0.0970982600449097,0.8558666666666668,0.6666666666666666,0.8866666666666667,0.0763371469207488,0.5405684257436159,0.4282412805440573,0.5444674178257488,0.0133317088662388
iris,correlation,none,minmax,0.5657466140922338,0.5657466140922338,0.5657466140922338,0.0,0.6733333333333335,0.6733333333333333,0.6733333333333333,1.1102230246251563e-16,0.180423050168305,0.180423050168305,0.180423050168305,2.775557561562892e-17
iris,cosine,iqr,none,0.8477599573263072,0.4359721999114274,0.9188032745638312,0.1652149850805827,0.928082191780822,0.6643835616438356,0.9726027397260274,0.1064291880891366,0.4848273015836388,0.436457407887001,0.4922912567735946,0.0145604986782994
iris,euclidean,none,none,0.6855510140788874,0.4289511167236898,0.7302382722834697,0.0992866131541335,0.8611999999999997,0.6666666666666666,0.8933333333333333,0.0752617949412434,0.5477023162092635,0.5172630288634874,0.5528190123564095,0.0113269787756532
iris,hamming,none,robust,0.0733811688342859,-0.0022332535286151,0.3419137773850835,0.0936566128842785,0.4512056737588651,0.34,0.6866666666666666,0.0729338750738852,0.0352192679092553,-0.3335816444909535,0.4142246642893825,0.1620132464402588
iris,manhattan,none,none,0.6831393711170012,0.432804702527474,0.7172759168337549,0.0924422028015061,0.8602666666666667,0.6666666666666666,0.8866666666666667,0.0714915379607964,0.5490127260181537,0.5172630288634874,0.5533422301756081,0.0117243526827304
iris,minkowski,iqr,none,0.6789701621448856,0.417968086809257,0.7185430251414886,0.0901832084833729,0.8621917808219179,0.6643835616438356,0.8904109589041096,0.0696160016806346,0.549751648878647,0.5069868055984792,0.5542769562172641,0.0106700470621857
seeds,chebyshev,none,minmax,0.7719997445819143,0.4111538558245958,0.8110809804859893,0.0568579179937771,0.9154761904761908,0.6619047619047619,0.9333333333333332,0.0372183299146086,0.4081083262664344,0.3429264241343812,0.412227177439818,0.0089663666626112
